BARRIS,PRECIO_ALQUILER,PRECIO_VENTA,EUROS_ANY,POBLACIÓ,DENSITAT_NETA_HABHA,ACTIVITATS_CONSTRUCCIÓ,ACTIVITATS_TRANSPORT,ACTIVITATS_TRANSPORT_EMMAGATZEMATGE,ACTIVITATS_EMMAGATZEMATGE,ACTIVITATS_IMMOBILIÀRIES,ACTIVITATS_INDUSTRIALS,ADMINISTRACIÓ,AGÈNCIES_VIATGE,ALTRES,VENDING,ALTRES_EQUIPAMENTS_ESPORTIUS,APARELLS_DOMÈSTICS,ARRANJAMENTS,ARTS_GRÀFIQUES,ASSOCIACIONS,AUTOSERVEI_SUPERMERCAT,BARS_CIBERCAFÈ,BARS_ESPECIALS_AMB_ACTUACIÓ_BARS_MUSICALS_DISCOTEQUES_PUB,BASARS,BEGUDES,CALÇAT_PELL,CARN_PORC,CENTRES_DESTÈTICA,COMBUSTIBLES_CARBURANTS,DROGUERIA_PERFUMERIA,EN_REFORMA,ENSENYAMENT,EQUIPAMENTS_CULTURALS_RECREATIUS,EQUIPAMENTS_RELIGIOSOS,ESPORTS,FABRICACIÓ_TÈXTIL,FARMÀCIES_PARAFARMÀCIA,FINANCES_ASSEGURANCES,FLORISTERIES,FOTOGRAFIA,FRUITES_VERDURES,GIMNÀS_FITNES,GRANS_MAGATZEMS_HIPERMERCATS,HERBOLARIS_DIETÈTICA_NUTRICIÓ,INFORMÀTICA,JOGUINES_ESPORTS,JOIERIA_RELLOTGERIA_BIJUTERIA,LLIBRES_DIARIS_REVISTES,LOCALS_BUITS_EN_LLOGUER,LOCALS_BUITS_EN_VENDA,LOCALS_BUITS_EN_VENDA_LLOGUER,LOCUTORIS,MANTENIMENT_NETEJA_SIMILARS,MAQUINÀRIA,MATERIAL_EQUIPAMENT_LLAR,MERCERIA,MOBLES_ARTICLES_FUSTA_METALL,MÚSICA,OUS_AUS,PA_PASTISSERIA_LÀCTICS,PARAMENT_FERRETERIA,PEIX_MARISC,PERRUQUERIES,PLATS_PREPARATS_NO_DEGUSTACIÓ,PÀRQUINGS_GARATGES,REPARACIONS_ELECTRODOMÈSTICS_AUTOMÒBILS,RESTAURANTS,SANITAT_ASSISTÈNCIA,SEGELLS_MONEDES_ANTIGUITATS,SENSE_INFORMACIÓ,SENSE_INFORMACIÓ_HAVIA_TINGUT_ACTIVITAT_RÈTOL,SERVEIS_SOCIALS,SERVEIS_A_LES_EMPRESES_OFICINES,SERVEIS_MENJAR_TAKE_AWAY_MENJAR_RÀPID,SERVEIS_TELECOMUNICACIONS,SOUVENIRS,TABAC_ARTICLES_FUMADORS,TINTORERIES,VEHICLES,VESTIR,VETERINARIS_MASCOTES,XOCOLATERIES_GELADERIES_DEGUSTACIÓ,SERVEIS_DALLOTJAMENT,SERVEIS_MENJAR_BEGUDES,ÒPTIQUES
Ciutat Meridiana,,1.729,10739,11026,729,1,1,0,0,1,0,3,0,9,0,3,1,0,0,1,8,1,0,2,0,0,5,0,0,2,1,6,1,3,0,0,4,8,0,1,6,0,1,1,2,0,1,1,5,3,1,1,0,0,0,1,1,0,1,4,1,2,12,0,1,3,16,3,0,36,32,1,0,1,0,0,0,0,0,3,0,0,0,0,1
Vallbona,,,11660,1384,204,3,0,0,1,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,2,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
la Trinitat Vella,573.0,1.196,11994,10364,817,10,1,0,5,2,2,1,1,2,0,4,0,2,2,7,11,0,0,4,0,1,8,4,1,2,1,8,6,3,0,0,6,3,0,0,3,0,0,0,2,0,1,0,9,8,4,2,3,0,0,0,0,0,0,4,1,1,7,0,0,4,28,2,0,171,23,4,3,3,0,0,2,3,0,1,1,0,0,0,1
Baró de Viver,,,12022,2645,673,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,1,0,29,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0
el Bon Pastor,626.0,1.539,15351,13582,763,47,9,0,11,3,83,3,2,25,2,4,3,1,5,6,15,6,0,6,0,17,13,9,8,13,2,8,5,3,0,0,9,8,1,1,5,0,3,3,8,10,12,1,14,6,6,1,5,1,13,0,10,0,0,12,6,4,13,0,1,38,73,3,0,208,57,5,3,17,10,0,2,2,26,67,5,1,1,0,7
Sant Andreu,835.0,1.684,21547,57954,758,107,7,0,55,31,23,12,6,62,0,6,6,24,30,36,59,126,4,12,4,18,36,41,2,20,18,93,21,5,0,3,39,37,6,6,29,14,0,7,18,12,15,15,59,18,17,4,23,0,22,6,14,0,4,41,13,13,101,7,4,44,84,86,3,242,166,11,112,22,11,0,13,13,6,73,16,6,1,0,15
la Sagrera,795.0,1.234,19799,29351,770,27,10,0,17,10,5,4,4,15,1,3,0,11,10,14,26,3,1,4,4,6,24,11,1,4,15,35,17,6,0,0,18,15,3,0,21,2,2,5,6,1,3,3,21,3,5,5,3,6,21,1,4,0,6,25,3,10,32,0,3,19,93,22,0,133,45,4,27,8,3,0,5,5,3,12,9,0,2,0,3
el Congrés i els Indians,827.0,1.669,20089,14420,753,35,4,0,18,14,3,0,4,6,0,4,1,9,8,15,14,5,0,3,2,2,6,12,1,2,5,30,5,4,0,0,9,9,2,1,8,1,0,4,6,1,3,2,15,12,3,1,7,0,11,1,4,0,0,10,3,2,27,0,0,23,74,22,1,184,33,5,16,4,2,0,4,2,2,10,3,0,1,1,2
Navas,837.0,1.656,20375,22091,984,31,6,0,9,12,1,1,2,13,1,2,4,8,6,7,23,4,5,11,3,2,7,15,0,7,7,14,4,2,0,0,10,6,5,2,9,1,0,3,8,1,6,7,18,6,6,2,5,1,21,2,7,0,0,18,5,3,36,0,3,28,82,15,0,89,37,5,21,4,6,0,2,3,7,15,6,0,0,0,1
el Camp de l'Arpa del Clot,890.0,1.927,20927,38360,894,63,6,0,40,22,12,3,7,35,0,0,5,26,12,23,52,75,1,7,5,13,16,43,1,23,8,37,13,5,0,3,20,23,3,6,20,8,0,11,16,4,10,8,28,15,9,6,19,2,20,3,8,0,2,34,11,6,80,5,8,41,94,42,3,235,156,10,79,19,6,1,9,10,7,37,6,3,12,0,6
el Clot,848.0,2.239,20483,26520,1131,33,6,0,32,16,8,2,1,23,0,6,5,11,14,19,35,63,2,7,8,2,15,18,2,8,10,37,10,4,0,2,17,14,3,3,19,4,0,5,9,6,3,5,22,4,4,3,11,2,10,3,8,0,6,23,4,13,43,2,1,19,56,14,6,120,101,3,67,10,2,0,6,5,9,30,8,3,1,0,4
el Parc i la Llacuna del Poblenou,764.0,2.029,21441,15603,699,8,15,0,30,4,16,10,2,61,0,0,0,4,6,6,24,78,6,5,2,8,3,5,3,9,9,26,10,5,0,2,9,7,3,2,3,6,1,2,3,6,3,1,6,3,3,0,4,2,6,0,7,0,1,12,5,0,11,1,8,29,53,8,1,202,47,1,67,16,11,0,6,4,9,43,3,1,15,0,2
la Vila Olímpica del Poblenou,969.0,2.377,32436,9240,380,10,8,1,9,10,4,6,1,2,0,4,0,0,8,6,15,1,16,0,1,0,1,8,1,0,8,26,4,1,0,0,7,11,0,1,2,1,0,0,0,6,1,1,1,1,2,1,1,1,1,0,1,0,0,6,0,0,6,0,2,7,87,9,0,49,14,0,59,5,2,1,2,1,2,8,3,0,2,0,2
el Poblenou,927.0,2.24,22751,33976,755,59,18,1,43,24,45,3,6,45,0,2,3,12,16,25,55,104,3,7,8,12,19,26,5,11,24,66,29,5,9,3,22,26,8,2,16,5,0,6,14,11,6,13,26,15,8,3,13,0,11,5,6,3,6,34,10,7,55,5,5,32,141,50,4,169,67,9,145,30,25,1,8,6,9,42,6,6,17,0,8
Diagonal Mar i el Front Marítim del Poblenou,1126.0,2.651,25589,13323,556,13,0,0,1,5,0,2,2,19,0,4,1,2,2,5,10,38,0,3,1,13,3,11,2,8,2,18,6,2,0,0,8,9,1,2,5,3,0,2,3,7,14,1,2,3,5,0,2,0,2,1,2,0,0,14,1,0,14,0,0,3,53,12,0,44,10,1,25,23,4,0,2,3,0,46,2,1,12,0,7
el Besòs i el Maresme,,2.121,12787,25657,913,9,2,0,31,5,12,4,1,26,0,5,2,3,3,6,30,59,0,6,0,1,20,5,1,4,3,15,7,2,0,0,13,8,1,1,16,0,0,2,5,0,3,2,2,7,1,8,1,0,3,1,2,0,8,13,3,9,23,0,1,7,20,12,0,87,48,1,8,6,1,0,4,7,1,7,1,0,1,0,3
Provençals del Poblenou,832.0,2.255,20080,20949,1368,20,5,0,29,6,22,8,1,42,0,0,0,3,7,8,17,50,0,2,0,1,4,9,3,2,6,23,4,4,0,0,14,9,1,0,4,5,0,1,4,4,0,2,10,5,12,0,3,2,6,0,1,1,0,6,5,3,18,0,2,21,33,18,0,201,71,2,30,4,2,0,4,1,5,7,1,0,1,0,1
Sant Martí de Provençals,976.0,1.812,18637,26032,1111,28,0,0,12,15,2,3,2,26,0,5,2,12,7,15,24,66,0,5,2,5,22,13,0,6,6,36,14,5,0,1,14,9,2,2,15,4,0,8,9,0,5,4,9,10,1,2,12,0,9,2,3,1,7,16,8,8,42,4,1,14,26,27,0,87,94,3,35,6,4,0,4,4,3,18,7,2,0,0,4
la Verneda i la Pau,891.0,1.534,16820,28585,714,50,11,0,18,11,93,0,3,20,0,3,2,12,14,9,33,91,0,9,6,4,24,13,0,10,6,23,9,6,0,0,19,14,0,2,20,1,0,6,7,1,6,5,20,18,12,5,22,1,12,5,5,0,11,20,6,11,59,3,4,33,19,23,0,122,172,2,40,4,5,0,7,6,8,17,6,2,0,0,4
